127.0.0.1 - - [03/Jun/2023:23:19:24 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:19:27 +0530] "GET /project_3/ HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:19:29 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:19:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:19:33 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11690
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:19:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:19:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:21:25 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11695
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:21:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:21:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:21:40 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 11856
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:21:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:21:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:22:10 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 11856
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:22:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:22:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:22:20 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 11856
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:22:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:22:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:23:46 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11695
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:23:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:23:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:23:49 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 11856
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:23:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:23:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:24:36 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11695
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:24:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:24:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:24:45 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 11856
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:24:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:24:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Jun/2023:23:26:10 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11690
